method,method_label,n_evaluated,n_attempted,TAbs,TLit,TAll,BAbs,BLit,BAll,PAbs,PLit,PAll,RAbs,RLit,RAll,MDS,generation_model,evaluation_model
direct_retrieval,Direct Retrieval,160,160,2.725,0.1982,0.4471,2.4937,0.1248,0.574,2.4937,0.11,0.6046,2.4875,0.1269,0.5761,3.159,gemma-4-31b-it,gemma-4-31b-it
twostage_retrieval,Two-stage Retrieval,159,160,3.1258,0.1633,0.5905,2.6981,0.1051,0.6617,2.717,0.0964,0.6832,2.8428,0.1161,0.6628,3.649,gemma-4-31b-it,gemma-4-31b-it
direct_generation,Direct Generation,150,160,3.4,0.1427,0.6809,2.82,0.096,0.7024,2.9467,0.092,0.745,2.9867,0.1031,0.7193,3.9715,gemma-4-31b-it,gemma-4-31b-it
twostage_generation,Two-stage Generation,116,160,2.8276,0.1398,0.5527,2.4483,0.1006,0.602,2.5345,0.0848,0.6581,2.5172,0.0943,0.6348,3.4642,gemma-4-31b-it,gemma-4-31b-it
summary_generation,Generation with Summarizing,150,160,3.4733,0.1542,0.6566,2.84,0.1,0.7,3.1333,0.1016,0.7597,3.0533,0.1122,0.7113,3.9701,gemma-4-31b-it,gemma-4-31b-it
reflection_generation,Self-reflection,159,160,3.4465,0.1442,0.6889,2.8994,0.0994,0.7269,3.1006,0.0937,0.779,3.2264,0.1061,0.7765,4.1824,gemma-4-31b-it,gemma-4-31b-it
agentic,Our Agentic Pipeline,37,59,3.0811,0.1069,0.7224,2.8378,0.0811,0.7509,2.9459,0.0853,0.7594,3.0541,0.1127,0.7009,4.0328,gemma-4-31b-it,gemma-4-31b-it
