method,method_label,n_evaluated,n_attempted,TAbs,TLit,TAll,BAbs,BLit,BAll,PAbs,PLit,PAll,RAbs,RLit,RAll,MDS,Pass@1,generation_model,evaluation_model
direct_retrieval,Direct Retrieval,20,20,2.95,0.1555,0.5451,2.85,0.1003,0.7005,2.75,0.1129,0.626,2.95,0.1311,0.6345,3.494,0.45,qwen3:8b,qwen3:8b
twostage_retrieval,Two-stage Retrieval,20,20,3.2,0.1573,0.5931,2.95,0.1028,0.7228,2.9,0.1213,0.6511,2.8,0.1452,0.5636,3.4488,0.65,qwen3:8b,qwen3:8b
direct_generation,Direct Generation,20,20,2.35,0.0996,0.5492,2.4,0.0952,0.6032,2.4,0.0794,0.6309,2.6,0.0998,0.6394,3.4184,0.35,qwen3:8b,qwen3:8b
twostage_generation,Two-stage Generation,20,20,3.0,0.1424,0.6117,2.9,0.1107,0.6846,3.05,0.1253,0.7121,2.7,0.1413,0.5241,3.463,0.5,qwen3:8b,qwen3:8b
summary_generation,Generation with Summarizing,20,20,2.9,0.1197,0.6319,2.55,0.1129,0.5911,2.65,0.0952,0.6583,2.65,0.106,0.6382,3.5,0.4,qwen3:8b,qwen3:8b
reflection_generation,Self-reflection,15,20,3.1333,0.1602,0.6395,2.7333,0.1068,0.6505,2.8667,0.1218,0.6379,3.0667,0.1531,0.5861,3.4182,0.2,qwen3:8b,qwen3:8b
agentic,Our Agentic Pipeline,20,20,3.0,0.1155,0.6943,2.55,0.0893,0.6601,2.55,0.0964,0.6346,2.6,0.107,0.6251,3.5266,0.2,qwen3:8b,qwen3:8b
